,Entity,Code,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
4520,Palestine,PSE,2010,19.04177954399929
4521,Palestine,PSE,2011,18.9925609519771
4522,Palestine,PSE,2012,18.89991592479927
4523,Palestine,PSE,2013,18.78042333965223
4524,Palestine,PSE,2014,18.645482161945026
4525,Palestine,PSE,2015,18.51688448634674
4526,Palestine,PSE,2016,18.32110355489196
4527,Palestine,PSE,2017,18.17172014270447
4528,Palestine,PSE,2018,18.14638918049872
4529,Palestine,PSE,2019,18.13966558803287
4530,Panama,PAN,1990,11.87589596090939
4531,Panama,PAN,1991,11.87566088645034
4532,Panama,PAN,1992,11.8732981515775
4533,Panama,PAN,1993,11.87700070706042
4534,Panama,PAN,1994,11.88152763711015
4535,Panama,PAN,1995,11.88685777288666
4536,Panama,PAN,1996,11.89746014748389
4537,Panama,PAN,1997,11.91536767312052
4538,Panama,PAN,1998,11.9365052023014
4539,Panama,PAN,1999,11.95765610813776
4540,Panama,PAN,2000,11.97143371070241
4541,Panama,PAN,2001,11.9828476147665
4542,Panama,PAN,2002,12.00245769636532
4543,Panama,PAN,2003,12.017114875543191
4544,Panama,PAN,2004,12.02863677035656
4545,Panama,PAN,2005,12.03437213397185
4546,Panama,PAN,2006,12.03782950345636
4547,Panama,PAN,2007,12.03585880161213
4548,Panama,PAN,2008,12.03738350510466
4549,Panama,PAN,2009,12.041329000156187
4550,Panama,PAN,2010,12.04557665813384
4551,Panama,PAN,2011,12.06062244407923
4552,Panama,PAN,2012,12.080276365894967
4553,Panama,PAN,2013,12.10670527611265
4554,Panama,PAN,2014,12.12929485743176
4555,Panama,PAN,2015,12.14649554932326
4556,Panama,PAN,2016,12.16153487343412
4557,Panama,PAN,2017,12.1789555394517
4558,Panama,PAN,2018,12.18398257256112
4559,Panama,PAN,2019,12.18487468246428
4560,Papua New Guinea,PNG,1990,11.96912695824331
4561,Papua New Guinea,PNG,1991,11.96102732599894
4562,Papua New Guinea,PNG,1992,11.95291222337263
4563,Papua New Guinea,PNG,1993,11.94307447543365
4564,Papua New Guinea,PNG,1994,11.93445209223356
4565,Papua New Guinea,PNG,1995,11.93404842666484
4566,Papua New Guinea,PNG,1996,11.93150415918557
4567,Papua New Guinea,PNG,1997,11.93021385470552
4568,Papua New Guinea,PNG,1998,11.92580851328597
4569,Papua New Guinea,PNG,1999,11.92693352297334
4570,Papua New Guinea,PNG,2000,11.92513130451916
4571,Papua New Guinea,PNG,2001,11.92702293483207
4572,Papua New Guinea,PNG,2002,11.93632915545202
4573,Papua New Guinea,PNG,2003,11.94708484465994
4574,Papua New Guinea,PNG,2004,11.95964540955145
4575,Papua New Guinea,PNG,2005,11.96550081024496
4576,Papua New Guinea,PNG,2006,11.96568282708099
4577,Papua New Guinea,PNG,2007,11.97426386062396
4578,Papua New Guinea,PNG,2008,11.97830088826204
4579,Papua New Guinea,PNG,2009,11.98361594257586
4580,Papua New Guinea,PNG,2010,11.98553672182737
4581,Papua New Guinea,PNG,2011,11.98462628262537
4582,Papua New Guinea,PNG,2012,11.98269271069199
4583,Papua New Guinea,PNG,2013,11.97842510384254
4584,Papua New Guinea,PNG,2014,11.96859939031634
4585,Papua New Guinea,PNG,2015,11.95805340604426
4586,Papua New Guinea,PNG,2016,11.93509961360877
4587,Papua New Guinea,PNG,2017,11.90971413471998
4588,Papua New Guinea,PNG,2018,11.90535873805285
4589,Papua New Guinea,PNG,2019,11.90954262863304
4590,Paraguay,PRY,1990,15.35506943277943
4591,Paraguay,PRY,1991,15.380716290307769
4592,Paraguay,PRY,1992,15.3995120371298
4593,Paraguay,PRY,1993,15.41863587456877
4594,Paraguay,PRY,1994,15.43551751464449
4595,Paraguay,PRY,1995,15.44683602634483
4596,Paraguay,PRY,1996,15.45084071122772
4597,Paraguay,PRY,1997,15.44924452622031
4598,Paraguay,PRY,1998,15.4385704233861
4599,Paraguay,PRY,1999,15.43252877030924
4600,Paraguay,PRY,2000,15.43292516027712
