,Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Mental disorders - Sex: Both - Age: All Ages (Percent)
2280,Greece,GRC,1990,8.20887703680215
2281,Greece,GRC,1991,8.17830062952094
2282,Greece,GRC,1992,8.16880216077841
2283,Greece,GRC,1993,8.220222824625251
2284,Greece,GRC,1994,8.23376072988418
2285,Greece,GRC,1995,8.23466423267204
2286,Greece,GRC,1996,8.33982814580439
2287,Greece,GRC,1997,8.595949247300739
2288,Greece,GRC,1998,8.83878039352014
2289,Greece,GRC,1999,9.02169413709585
2290,Greece,GRC,2000,9.14797208551626
2291,Greece,GRC,2001,9.17214723103358
2292,Greece,GRC,2002,9.11271815205479
2293,Greece,GRC,2003,8.998803511544331
2294,Greece,GRC,2004,8.88142002987594
2295,Greece,GRC,2005,8.82991456283008
2296,Greece,GRC,2006,8.84742564133121
2297,Greece,GRC,2007,8.70741223826496
2298,Greece,GRC,2008,8.76737431581521
2299,Greece,GRC,2009,8.74570579201006
2300,Greece,GRC,2010,8.75193133339636
2301,Greece,GRC,2011,8.594414966505349
2302,Greece,GRC,2012,8.34054289025117
2303,Greece,GRC,2013,8.17611766013194
2304,Greece,GRC,2014,7.981130716980591
2305,Greece,GRC,2015,7.75828064645491
2306,Greece,GRC,2016,7.703282923522551
2307,Greece,GRC,2017,7.698110151424211
2308,Greece,GRC,2018,7.62148809291275
2309,Greece,GRC,2019,7.64131643502141
2310,Greenland,GRL,1990,6.3872672993753
2311,Greenland,GRL,1991,6.385870841654551
2312,Greenland,GRL,1992,6.39533422244664
2313,Greenland,GRL,1993,6.2625280235069205
2314,Greenland,GRL,1994,6.27147025790493
2315,Greenland,GRL,1995,6.28667331906362
2316,Greenland,GRL,1996,6.34115895255363
2317,Greenland,GRL,1997,6.39743335130647
2318,Greenland,GRL,1998,6.47981883352914
2319,Greenland,GRL,1999,6.52751093034122
2320,Greenland,GRL,2000,6.594812988169379
2321,Greenland,GRL,2001,6.661935509762911
2322,Greenland,GRL,2002,6.70075617732276
2323,Greenland,GRL,2003,6.7994735547471805
2324,Greenland,GRL,2004,6.996330740280079
2325,Greenland,GRL,2005,7.0290741316426
2326,Greenland,GRL,2006,7.04335891261726
2327,Greenland,GRL,2007,7.05223558149537
2328,Greenland,GRL,2008,7.066734584897739
2329,Greenland,GRL,2009,7.083114536943549
2330,Greenland,GRL,2010,7.11261852048435
2331,Greenland,GRL,2011,7.14385880204744
2332,Greenland,GRL,2012,7.18692320057151
2333,Greenland,GRL,2013,7.1804504071561
2334,Greenland,GRL,2014,7.1690402999743
2335,Greenland,GRL,2015,7.1853510127918
2336,Greenland,GRL,2016,7.14997113443603
2337,Greenland,GRL,2017,7.12362749128216
2338,Greenland,GRL,2018,7.05987055214452
2339,Greenland,GRL,2019,6.950654699587671
2340,Grenada,GRD,1990,4.40713132246859
2341,Grenada,GRD,1991,4.57373601457565
2342,Grenada,GRD,1992,4.65184791958258
2343,Grenada,GRD,1993,4.78375294292123
2344,Grenada,GRD,1994,4.96346751817642
2345,Grenada,GRD,1995,5.17098348140421
2346,Grenada,GRD,1996,5.36854317603882
2347,Grenada,GRD,1997,5.5661814486618
2348,Grenada,GRD,1998,5.73451081266445
2349,Grenada,GRD,1999,5.80458873112226
2350,Grenada,GRD,2000,5.90616914540347
2351,Grenada,GRD,2001,5.98208114111591
2352,Grenada,GRD,2002,6.02424468329141
2353,Grenada,GRD,2003,6.0626134344133495
2354,Grenada,GRD,2004,5.88469792111716
2355,Grenada,GRD,2005,6.110561233598
2356,Grenada,GRD,2006,6.13821024546328
2357,Grenada,GRD,2007,6.12473203626112
2358,Grenada,GRD,2008,6.06179345602859
2359,Grenada,GRD,2009,6.0190316862908
2360,Grenada,GRD,2010,5.96008599663016
2361,Grenada,GRD,2011,5.92840181170924
2362,Grenada,GRD,2012,5.97097518727322
2363,Grenada,GRD,2013,5.915432935357289
2364,Grenada,GRD,2014,5.84852351959999
2365,Grenada,GRD,2015,5.81428443765022
2366,Grenada,GRD,2016,5.73830589967893
2367,Grenada,GRD,2017,5.73516812985276
2368,Grenada,GRD,2018,5.73182155413927
2369,Grenada,GRD,2019,5.733206991022341
2370,Guam,GUM,1990,6.22436857533935
2371,Guam,GUM,1991,6.14562341173854
2372,Guam,GUM,1992,6.11254093593452
2373,Guam,GUM,1993,6.07986595613824
2374,Guam,GUM,1994,6.0495130501441
2375,Guam,GUM,1995,6.08698720684352
2376,Guam,GUM,1996,6.103407391757671
2377,Guam,GUM,1997,5.0380997478431295
2378,Guam,GUM,1998,6.095632319663459
2379,Guam,GUM,1999,6.08333939190641
2380,Guam,GUM,2000,6.05233011485292
2381,Guam,GUM,2001,6.037972312199931
2382,Guam,GUM,2002,6.0025453833947005
2383,Guam,GUM,2003,6.00717238850168
2384,Guam,GUM,2004,6.00120964029249
2385,Guam,GUM,2005,6.03174271499956
2386,Guam,GUM,2006,5.97148323315559
2387,Guam,GUM,2007,5.90216266470544
2388,Guam,GUM,2008,5.830783118094471
2389,Guam,GUM,2009,5.76913907131779
2390,Guam,GUM,2010,5.70181719604826
2391,Guam,GUM,2011,5.70233369271734
2392,Guam,GUM,2012,5.62253806473976
2393,Guam,GUM,2013,5.511240571323841
2394,Guam,GUM,2014,5.43665385619883
2395,Guam,GUM,2015,5.37040819052888
2396,Guam,GUM,2016,5.32655797900996
2397,Guam,GUM,2017,5.28810751783923
2398,Guam,GUM,2018,5.25481642785647
2399,Guam,GUM,2019,5.21024963139035
2400,Guatemala,GTM,1990,2.28382219707063
2401,Guatemala,GTM,1991,2.34830331006414
2402,Guatemala,GTM,1992,2.43923414500364
2403,Guatemala,GTM,1993,2.55583627355872
2404,Guatemala,GTM,1994,2.6680344213257
2405,Guatemala,GTM,1995,2.88058030762151
2406,Guatemala,GTM,1996,3.06056462317242
2407,Guatemala,GTM,1997,3.15731388545458
2408,Guatemala,GTM,1998,3.27228122020833
2409,Guatemala,GTM,1999,3.49923023771251
2410,Guatemala,GTM,2000,3.63076960857285
2411,Guatemala,GTM,2001,3.77139857122759
2412,Guatemala,GTM,2002,3.9345538102441298
2413,Guatemala,GTM,2003,4.08963022539945
2414,Guatemala,GTM,2004,4.22248434399336
2415,Guatemala,GTM,2005,4.27562523598607
2416,Guatemala,GTM,2006,4.42788478117951
2417,Guatemala,GTM,2007,4.58664078654931
2418,Guatemala,GTM,2008,4.6909277516260905
2419,Guatemala,GTM,2009,4.71056511927962
2420,Guatemala,GTM,2010,4.84518773962304
2421,Guatemala,GTM,2011,4.977849949763661
2422,Guatemala,GTM,2012,5.10355644712924
2423,Guatemala,GTM,2013,5.19528614515907
