,Entity,Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
4596,Paraguay,PRY,1996,0.28643715528793,1.13786511638204,0.19682175107773,6.412675554406221,0.69919007563822,3.68513872812512,2.45161554560091
4597,Paraguay,PRY,1997,0.28619588006201,1.13813826273117,0.19862115556284,6.41406913706517,0.70263392372519,3.67551074401372,2.47689793627793
4598,Paraguay,PRY,1998,0.28585668414961,1.13829154188918,0.19992624918187,6.41472904632889,0.70670726275213,3.66198423497264,2.50555683777652
4599,Paraguay,PRY,1999,0.28555370501502,1.13840689767256,0.20078815214196,6.41511175851736,0.71099750243293,3.65028046420442,2.52921262778266
4600,Paraguay,PRY,2000,0.28542851869801,1.13857923854448,0.2018862618939,6.415628473167249,0.71313711405472,3.64869417020356,2.53959756578836
4601,Paraguay,PRY,2001,0.28544398135358,1.13878957823522,0.20191913908808,6.417147276459979,0.7131977799568501,3.65552300752061,2.53581896940068
4602,Paraguay,PRY,2002,0.28548588464475,1.13902504739258,0.2018863612214,6.420121563678941,0.7123255411184001,3.6683681308530303,2.5255792793671303
4603,Paraguay,PRY,2003,0.28555118404436,1.1392553032179902,0.20228171673683,6.42358500159836,0.71071650773361,3.68428043501985,2.51321320018926
4604,Paraguay,PRY,2004,0.28565101101434,1.13953730097714,0.20255406144621,6.4271291874272,0.71120754058125,3.69489313296312,2.5030705953730004
4605,Paraguay,PRY,2005,0.28580125131545,1.13991035291924,0.2031407362275299,6.43013240226782,0.71138329649656,3.7056760310315697,2.49973491441096
4606,Paraguay,PRY,2006,0.28615191389037,1.14050072409451,0.2043204360958,6.4325864830209705,0.71388965763971,3.7113212603508097,2.50875430442687
4607,Paraguay,PRY,2007,0.2867684297571899,1.1414186144827598,0.20599360898167,6.43606396329545,0.71851462840685,3.7203824159267103,2.52868612895822
4608,Paraguay,PRY,2008,0.28748110430192,1.14243311918146,0.2087202526699799,6.440337147494909,0.72331841606258,3.72966377386005,2.55338975031164
4609,Paraguay,PRY,2009,0.28815106890701,1.14344674257838,0.21096555506216,6.44618365843333,0.72702272007622,3.73916045460893,2.57686754796389
4610,Paraguay,PRY,2010,0.2886081237082299,1.1442312746639,0.2127333180097999,6.453481245404399,0.72826488720575,3.7496720063444497,2.59287250755698
4611,Paraguay,PRY,2011,0.28894365922136,1.14488934294038,0.21485141799072,6.47007104050666,0.7267485899071401,3.7704435970918895,2.60320102629061
4612,Paraguay,PRY,2012,0.28932448998307,1.14559611445582,0.2172425734031599,6.49900201377661,0.72272889515919,3.80840218497654,2.61306111763504
4613,Paraguay,PRY,2013,0.2897338187520299,1.1463433585399,0.2202362403636199,6.533455936922191,0.71751575292861,3.8527256037696898,2.62180096366146
4614,Paraguay,PRY,2014,0.29012465325775,1.14702271831636,0.22241158846136,6.56606441143577,0.71190385803308,3.89035926090349,2.62853666727321
4615,Paraguay,PRY,2015,0.29048645626107,1.14765735700624,0.22427424818674,6.590290823464611,0.70913049775633,3.91095834365561,2.63261831884182
4616,Paraguay,PRY,2016,0.29133443825111,1.14832814461729,0.22445195957281,6.61335644813725,0.70769246148794,3.91395938855224,2.6426120084774096
4617,Paraguay,PRY,2017,0.29224169380804,1.1489922173885498,0.22405184523926,6.631710750520551,0.7077015542370599,3.91301589284556,2.66116882791847
4618,Paraguay,PRY,2018,0.2927539720232,1.14959878287521,0.22712500331721,6.64272831311379,0.71549296308611,3.90820078339508,2.69030371456364
4619,Paraguay,PRY,2019,0.29321097318492,1.1501601613483,0.2296470101010899,6.654015054293359,0.73095797167401,3.89917590987233,2.7325657757354
4620,Peru,PER,1990,0.28254411216149,0.95375808989583,0.2437634968539599,5.66137514029153,0.87579476236215,2.50440483178521,1.10465907184866
4621,Peru,PER,1991,0.28248138441485,0.95397566320229,0.2496549859752699,5.65388528614896,0.8749395402182201,2.5040445232490502,1.0772482245699802
4622,Peru,PER,1992,0.28247800677426,0.95421123382437,0.25537883293236,5.64849204708186,0.8744095872118,2.5018433434787,1.05540074346923
4623,Peru,PER,1993,0.28252767730401,0.9544796865733,0.26040253995102,5.645375664036631,0.8740488312868,2.49891190543069,1.03947683576395
4624,Peru,PER,1994,0.28261584960199,0.95476410386014,0.26469580887328,5.64420311503461,0.8744415821743,2.49469402766951,1.02993737003347
4625,Peru,PER,1995,0.2827251229405599,0.95504620888004,0.26757124104113,5.644696641011239,0.87570279642536,2.49135289597812,1.02721496023717
4626,Peru,PER,1996,0.2829049327383099,0.95530986086665,0.26913933477343,5.65015148698796,0.87686675679253,2.48639454945083,1.03465391888346
4627,Peru,PER,1997,0.2831774339855,0.95553472071392,0.27091885064897,5.66116268440126,0.8775876677837,2.47708510109931,1.05126291471833
4628,Peru,PER,1998,0.28349779251617,0.95577432438553,0.27244216952834,5.67421063714593,0.87859904611876,2.46509719650112,1.0709667253081498
4629,Peru,PER,1999,0.28382252043104,0.95607501008503,0.27403063299877,5.68591004151162,0.8804928433360201,2.45342494110459,1.08761926770197
4630,Peru,PER,2000,0.28410267626874,0.95648424027977,0.27555931631033,5.692785645337111,0.88416526588311,2.443768412162,1.09504760652303
4631,Peru,PER,2001,0.28442682229192,0.95720940794484,0.27721805146272,5.6952779485412695,0.8898493071301901,2.43662006297016,1.08967775340125
4632,Peru,PER,2002,0.28487877114057,0.95830397978191,0.27908533582566,5.69678084358671,0.89901447936573,2.4301426541010698,1.07513501566176
4633,Peru,PER,2003,0.2853968833152,0.95955552744277,0.28063615850308,5.69809611143255,0.90968692022278,2.42381287191629,1.05595374473394
4634,Peru,PER,2004,0.28591979482819,0.96075354463447,0.28294633419905,5.70025062597577,0.91942023828103,2.41423327361752,1.03664834432682
4635,Peru,PER,2005,0.28638270297868,0.96168201796353,0.28621802673843,5.70407332068919,0.92539426584194,2.40309525131386,1.02180366426381
4636,Peru,PER,2006,0.28701712686337,0.96244128729369,0.29115772094879,5.7117070096296,0.92934732481045,2.38031016786079,1.00935344500977
4637,Peru,PER,2007,0.28798567212477,0.96332015107139,0.29738915465136,5.72365713803636,0.93263253732095,2.34455828099115,0.99503295565079
4638,Peru,PER,2008,0.28907605662522,0.96418295042914,0.3044203395411,5.73719647165541,0.93635225198527,2.30756682941182,0.98002983434885
