,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
74,Belarus,Commonwealth of Independent States,5.539899826,0.037060037,5.612537384,5.467262268,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,1.972316742,1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911
75,North Cyprus,Western Europe,5.53550005,0.051037241,5.635532856,5.435467243,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568,1.972316742,1.21279943,1.183089137,1.026124597,0.477885723,0.199160054,0.199802905,1.23668766
76,Greece,Western Europe,5.514999866,0.046931833,5.606986046,5.423013687,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,1.972316742,1.128070116,1.168973565,0.979431748,0.173516348,0.0,0.048844352,2.016179085
77,Hong Kong S.A.R. of China,East Asia,5.510399818,0.046019029,5.600596905,5.420202732,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,1.972316742,1.376746058,1.243584275,1.136630654,0.459356517,0.288280904,0.332485437,0.673293114
78,Croatia,Central and Eastern Europe,5.504700184,0.037783645,5.578756332,5.430644035,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.972316742,1.109024286,1.311264873,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205
79,Libya,Middle East and North Africa,5.488800049,0.060677204,5.607727528,5.36987257,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,1.972316742,1.021913767,1.196283698,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156
80,Mongolia,East Asia,5.456200123,0.040313236,5.535213947,5.377186298,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,1.972316742,0.904872775,1.458930612,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563
81,Malaysia,Southeast Asia,5.384300232,0.048802696,5.479953289,5.288647175,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,1.972316742,1.168421626,1.17400229,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815
82,Vietnam,Southeast Asia,5.353499889,0.033800762,5.41974926,5.287250519,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,1.972316742,0.718092382,1.253074765,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936
83,Indonesia,Southeast Asia,5.285600185,0.047692381,5.379077435,5.192122936,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,1.972316742,0.891720712,1.154800892,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488
