,Entity,Code,Year,Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
2260,Ghana,GHA,2000,11.431186287022047
2261,Ghana,GHA,2001,11.43746500401283
2262,Ghana,GHA,2002,11.44622655734449
2263,Ghana,GHA,2003,11.4576900115394
2264,Ghana,GHA,2004,11.46830045688283
2265,Ghana,GHA,2005,11.47343505933873
2266,Ghana,GHA,2006,11.467651257924889
2267,Ghana,GHA,2007,11.45589069782358
2268,Ghana,GHA,2008,11.43911979878284
2269,Ghana,GHA,2009,11.42033190476235
2270,Ghana,GHA,2010,11.40910876497928
2271,Ghana,GHA,2011,11.40333022987409
2272,Ghana,GHA,2012,11.4026665631767
2273,Ghana,GHA,2013,11.39741116648428
2274,Ghana,GHA,2014,11.39865516085116
2275,Ghana,GHA,2015,11.40442876163514
2276,Ghana,GHA,2016,11.40791524037099
2277,Ghana,GHA,2017,11.41752279328881
2278,Ghana,GHA,2018,11.41423113703233
2279,Ghana,GHA,2019,11.40335942352635
2280,Greece,GRC,1990,16.631643325457272
2281,Greece,GRC,1991,16.61574891579822
2282,Greece,GRC,1992,16.60725716879831
2283,Greece,GRC,1993,16.61255367601553
2284,Greece,GRC,1994,16.62417687113522
2285,Greece,GRC,1995,16.63818441391271
2286,Greece,GRC,1996,16.754557669115968
2287,Greece,GRC,1997,17.00451646845264
2288,Greece,GRC,1998,17.298842107290042
2289,Greece,GRC,1999,17.54599959789083
2290,Greece,GRC,2000,17.64643128003989
2291,Greece,GRC,2001,17.614474998985568
2292,Greece,GRC,2002,17.52669038045088
2293,Greece,GRC,2003,17.43047115472945
2294,Greece,GRC,2004,17.35410096371301
2295,Greece,GRC,2005,17.33361997929934
2296,Greece,GRC,2006,17.35747883227834
2297,Greece,GRC,2007,17.3843201457278
2298,Greece,GRC,2008,17.41331993792449
2299,Greece,GRC,2009,17.443550542780038
2300,Greece,GRC,2010,17.46791043457181
2301,Greece,GRC,2011,17.42682551408068
2302,Greece,GRC,2012,17.30544586579987
2303,Greece,GRC,2013,17.15608036822755
2304,Greece,GRC,2014,17.02908577281518
2305,Greece,GRC,2015,16.98736326893342
2306,Greece,GRC,2016,17.02780597759338
2307,Greece,GRC,2017,17.085862021256983
2308,Greece,GRC,2018,17.09373600088816
2309,Greece,GRC,2019,17.04689208034167
2310,Greenland,GRL,1990,17.73373684168467
2311,Greenland,GRL,1991,17.79237993587629
2312,Greenland,GRL,1992,17.834552053405332
2313,Greenland,GRL,1993,17.87020395511176
2314,Greenland,GRL,1994,17.8886296142493
2315,Greenland,GRL,1995,17.89809815093325
2316,Greenland,GRL,1996,17.89647475575865
2317,Greenland,GRL,1997,17.8842062428373
2318,Greenland,GRL,1998,17.862009104728642
2319,Greenland,GRL,1999,17.839268189966457
2320,Greenland,GRL,2000,17.81875496894825
2321,Greenland,GRL,2001,17.80233059811214
2322,Greenland,GRL,2002,17.7847024816787
2323,Greenland,GRL,2003,17.76815774010731
2324,Greenland,GRL,2004,17.75283614222559
2325,Greenland,GRL,2005,17.73490444848423
2326,Greenland,GRL,2006,17.73142476239022
2327,Greenland,GRL,2007,17.73998639668579
2328,Greenland,GRL,2008,17.75000393411493
2329,Greenland,GRL,2009,17.7507808804432
2330,Greenland,GRL,2010,17.742142337699327
2331,Greenland,GRL,2011,17.73069973969598
2332,Greenland,GRL,2012,17.7132772190268
2333,Greenland,GRL,2013,17.69743704444281
2334,Greenland,GRL,2014,17.68667698140355
2335,Greenland,GRL,2015,17.69462691644475
2336,Greenland,GRL,2016,17.7219462622156
2337,Greenland,GRL,2017,17.75353947357679
2338,Greenland,GRL,2018,17.69017113438304
2339,Greenland,GRL,2019,17.54286715230218
2340,Grenada,GRD,1990,14.307793669441349
2341,Grenada,GRD,1991,14.28572270176876
2342,Grenada,GRD,1992,14.264613279588689
2343,Grenada,GRD,1993,14.247286334889612
2344,Grenada,GRD,1994,14.23719632334682
2345,Grenada,GRD,1995,14.23091196458702
2346,Grenada,GRD,1996,14.22782457520545
2347,Grenada,GRD,1997,14.233584707600718
2348,Grenada,GRD,1998,14.243657078842558
2349,Grenada,GRD,1999,14.2467054737119
2350,Grenada,GRD,2000,14.25222409808139
2351,Grenada,GRD,2001,14.24849090531539
2352,Grenada,GRD,2002,14.2497882665873
2353,Grenada,GRD,2003,14.251627920826678
2354,Grenada,GRD,2004,14.250685912302242
2355,Grenada,GRD,2005,14.2527027385774
2356,Grenada,GRD,2006,14.248512058141069
2357,Grenada,GRD,2007,14.242686572849369
2358,Grenada,GRD,2008,14.23916117441354
2359,Grenada,GRD,2009,14.239814033478329
2360,Grenada,GRD,2010,14.24560806730809
2361,Grenada,GRD,2011,14.26373753057118
2362,Grenada,GRD,2012,14.283289458705609
2363,Grenada,GRD,2013,14.30783029618321
2364,Grenada,GRD,2014,14.32784058080443
2365,Grenada,GRD,2015,14.34103488169175
2366,Grenada,GRD,2016,14.34245072461446
2367,Grenada,GRD,2017,14.33974000310729
2368,Grenada,GRD,2018,14.35359182993046
2369,Grenada,GRD,2019,14.37317531217853
2370,Guam,GUM,1990,11.49052778362412
2371,Guam,GUM,1991,11.49627692482814
2372,Guam,GUM,1992,11.50026427456865
2373,Guam,GUM,1993,11.50612198409356
2374,Guam,GUM,1994,11.51124075980952
2375,Guam,GUM,1995,11.51403290020489
2376,Guam,GUM,1996,11.51748901722888
2377,Guam,GUM,1997,11.52011604445797
2378,Guam,GUM,1998,11.52416533075641
