,Entity,Code,Year,Prevalence - Mental and substance use disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Mental and substance use disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent
18876,Georgia,GEO,1973,,,4822168.0,
18877,Georgia,GEO,1974,,,4847869.0,
18878,Georgia,GEO,1975,,,4873638.0,
18879,Georgia,GEO,1976,,,4900192.0,
18880,Georgia,GEO,1977,,,4927251.0,
18881,Georgia,GEO,1978,,,4955517.0,
18882,Georgia,GEO,1979,,,4985591.0,
18883,Georgia,GEO,1980,,,5017827.0,
18884,Georgia,GEO,1981,,,5051116.0,
18885,Georgia,GEO,1982,,,5085141.0,
18886,Georgia,GEO,1983,,,5121801.0,
18887,Georgia,GEO,1984,,,5163641.0,
18888,Georgia,GEO,1985,,,5211454.0,
18889,Georgia,GEO,1986,,,5267233.0,
18890,Georgia,GEO,1987,,,5327496.0,
18891,Georgia,GEO,1988,,,5380820.0,
18892,Georgia,GEO,1989,,,5411983.0,
18893,Georgia,GEO,2018,,,4002946.0,
18894,Georgia,GEO,2019,,,3996762.0,
18895,Georgia,GEO,2020,,,3989175.0,
18896,Georgia,GEO,2021,,,3979773.0,
18897,Germany,DEU,1990,13.1898342331,16.959606277299997,79053984.0,
18898,Germany,DEU,1991,13.2026878996,17.0823384908,79490831.0,
18899,Germany,DEU,1992,13.2146000605,17.1900464101,79963166.0,
18900,Germany,DEU,1993,13.2269467065,17.2750843558,80428557.0,
18901,Germany,DEU,1994,13.2359888453,17.3255825263,80832928.0,
18902,Germany,DEU,1995,13.2341749081,17.3407259744,81138653.0,
18903,Germany,DEU,1996,13.233220427,17.3180742423,81323666.0,
18904,Germany,DEU,1997,13.237150794300002,17.2761215678,81399250.0,
18905,Germany,DEU,1998,13.2354792677,17.2181328897,81402671.0,
18906,Germany,DEU,1999,13.2373789562,17.168700822999998,81389935.0,
18907,Germany,DEU,2000,13.244241211,17.1359423756,81400883.0,
