,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent)
2260,Ghana,GHA,2000,4.41218741300911
2261,Ghana,GHA,2001,4.41752762721646
2262,Ghana,GHA,2002,4.42646678520191
2263,Ghana,GHA,2003,4.43474915225325
2264,Ghana,GHA,2004,4.44377143834368
2265,Ghana,GHA,2005,4.4490576920039295
2266,Ghana,GHA,2006,4.44720486831918
2267,Ghana,GHA,2007,4.4369976735409
2268,Ghana,GHA,2008,4.42551398706154
2269,Ghana,GHA,2009,4.41278899546536
2270,Ghana,GHA,2010,4.40589173021704
2271,Ghana,GHA,2011,4.405855628965201
2272,Ghana,GHA,2012,4.41118356599131
2273,Ghana,GHA,2013,4.41662605061298
2274,Ghana,GHA,2014,4.423943875702481
2275,Ghana,GHA,2015,4.4328042699472
2276,Ghana,GHA,2016,4.43880770379299
2277,Ghana,GHA,2017,4.4493262095826
2278,Ghana,GHA,2018,4.45707207697935
2279,Ghana,GHA,2019,4.4639383398551
2280,Greece,GRC,1990,5.3648499187580505
2281,Greece,GRC,1991,5.32905005044845
2282,Greece,GRC,1992,5.3078058581712
2283,Greece,GRC,1993,5.29780046171848
2284,Greece,GRC,1994,5.29884132111007
2285,Greece,GRC,1995,5.30275697044284
2286,Greece,GRC,1996,5.42579339038601
2287,Greece,GRC,1997,5.70988809118481
2288,Greece,GRC,1998,6.04508344341246
2289,Greece,GRC,1999,6.32645049490502
2290,Greece,GRC,2000,6.444800640643559
2291,Greece,GRC,2001,6.408883831581321
2292,Greece,GRC,2002,6.31294457912952
2293,Greece,GRC,2003,6.20155890288206
2294,Greece,GRC,2004,6.10419298078338
2295,Greece,GRC,2005,6.06545925562232
2296,Greece,GRC,2006,6.0677468211021806
2297,Greece,GRC,2007,6.0757703688767
2298,Greece,GRC,2008,6.08348783854668
2299,Greece,GRC,2009,6.08979998161563
2300,Greece,GRC,2010,6.086847757738631
2301,Greece,GRC,2011,5.99597622494702
2302,Greece,GRC,2012,5.79288635801899
2303,Greece,GRC,2013,5.54846187147787
2304,Greece,GRC,2014,5.33969507160427
2305,Greece,GRC,2015,5.2473545175311
2306,Greece,GRC,2016,5.27311607394018
2307,Greece,GRC,2017,5.33335499827601
2308,Greece,GRC,2018,5.40957640966671
2309,Greece,GRC,2019,5.50499099147155
2310,Greenland,GRL,1990,6.9066370743224095
2311,Greenland,GRL,1991,6.96722470626926
2312,Greenland,GRL,1992,7.013826761065051
2313,Greenland,GRL,1993,7.049096060791859
2314,Greenland,GRL,1994,7.068241012125
2315,Greenland,GRL,1995,7.077744559725869
2316,Greenland,GRL,1996,7.06949951868141
2317,Greenland,GRL,1997,7.05519014809026
2318,Greenland,GRL,1998,7.03154103247054
2319,Greenland,GRL,1999,7.001220223893339
2320,Greenland,GRL,2000,6.97439535314111
2321,Greenland,GRL,2001,6.95601739899494
2322,Greenland,GRL,2002,6.932126406107619
2323,Greenland,GRL,2003,6.90432636149923
2324,Greenland,GRL,2004,6.880863244616959
2325,Greenland,GRL,2005,6.85946379319478
2326,Greenland,GRL,2006,6.840146971250979
2327,Greenland,GRL,2007,6.812271833974171
2328,Greenland,GRL,2008,6.78387619639521
2329,Greenland,GRL,2009,6.746367413595129
2330,Greenland,GRL,2010,6.71904042626274
2331,Greenland,GRL,2011,6.68833552621578
2332,Greenland,GRL,2012,6.64574575771167
2333,Greenland,GRL,2013,6.60335212733686
2334,Greenland,GRL,2014,6.570664807925899
2335,Greenland,GRL,2015,6.555632777270789
2336,Greenland,GRL,2016,6.57378677123375
2337,Greenland,GRL,2017,6.5915880330711705
2338,Greenland,GRL,2018,6.52137687149037
2339,Greenland,GRL,2019,6.3646151632486605
2340,Grenada,GRD,1990,3.3478936596628497
2341,Grenada,GRD,1991,3.33300575594322
2342,Grenada,GRD,1992,3.32126473260436
2343,Grenada,GRD,1993,3.3152660238938
2344,Grenada,GRD,1994,3.31152255030765
2345,Grenada,GRD,1995,3.3124180218719803
2346,Grenada,GRD,1996,3.32031310003854
2347,Grenada,GRD,1997,3.33308592035562
2348,Grenada,GRD,1998,3.34918421563494
2349,Grenada,GRD,1999,3.36307600979578
2350,Grenada,GRD,2000,3.37471856885448
2351,Grenada,GRD,2001,3.38117438043968
2352,Grenada,GRD,2002,3.3902193454603697
2353,Grenada,GRD,2003,3.3974780630289803
2354,Grenada,GRD,2004,3.40330057563178
2355,Grenada,GRD,2005,3.40444747660459
2356,Grenada,GRD,2006,3.39415679425073
2357,Grenada,GRD,2007,3.37356862996416
2358,Grenada,GRD,2008,3.35027542468055
2359,Grenada,GRD,2009,3.32976237683966
2360,Grenada,GRD,2010,3.3202002504016304
2361,Grenada,GRD,2011,3.3222291780519804
2362,Grenada,GRD,2012,3.32759542009838
2363,Grenada,GRD,2013,3.3344525209064204
2364,Grenada,GRD,2014,3.34030216716125
2365,Grenada,GRD,2015,3.34546299234849
2366,Grenada,GRD,2016,3.34640701551911
2367,Grenada,GRD,2017,3.3478328687003
2368,Grenada,GRD,2018,3.3604695461334195
2369,Grenada,GRD,2019,3.38412430337972
2370,Guam,GUM,1990,3.3375570856058
2371,Guam,GUM,1991,3.33766639817594
2372,Guam,GUM,1992,3.33572415266168
2373,Guam,GUM,1993,3.3348686218871904
2374,Guam,GUM,1994,3.3336857670081
2375,Guam,GUM,1995,3.3332559425815105
2376,Guam,GUM,1996,3.3301685071320897
2377,Guam,GUM,1997,3.3267056812026805
2378,Guam,GUM,1998,3.3212780907016204
2379,Guam,GUM,1999,3.31631456013986
2380,Guam,GUM,2000,3.3132532404210604
2381,Guam,GUM,2001,3.3124682117510305
2382,Guam,GUM,2002,3.3124720042967395
2383,Guam,GUM,2003,3.31539484841624
2384,Guam,GUM,2004,3.31855174132506
2385,Guam,GUM,2005,3.32164356311801
2386,Guam,GUM,2006,3.327225642331
2387,Guam,GUM,2007,3.3377952362764898
2388,Guam,GUM,2008,3.3475589404946096
2389,Guam,GUM,2009,3.35563948148747
2390,Guam,GUM,2010,3.35908803111207
2391,Guam,GUM,2011,3.36239270994224
2392,Guam,GUM,2012,3.36260915353336
2393,Guam,GUM,2013,3.3623464291378897
2394,Guam,GUM,2014,3.3629709353068
2395,Guam,GUM,2015,3.36172296324685
2396,Guam,GUM,2016,3.36382637565646
2397,Guam,GUM,2017,3.36264413332081
2398,Guam,GUM,2018,3.36302371911318
2399,Guam,GUM,2019,3.3617990996130698
2400,Guatemala,GTM,1990,3.8524335012884894
2401,Guatemala,GTM,1991,3.8790617179721503
2402,Guatemala,GTM,1992,3.91060189509784
