,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent)
4520,Palestine,PSE,2010,7.341068567588841
4521,Palestine,PSE,2011,7.30291559647487
4522,Palestine,PSE,2012,7.22831331617768
4523,Palestine,PSE,2013,7.127399867079209
4524,Palestine,PSE,2014,7.01155919545572
4525,Palestine,PSE,2015,6.891013911999449
4526,Palestine,PSE,2016,6.6897498154323
4527,Palestine,PSE,2017,6.541046282918769
4528,Palestine,PSE,2018,6.5313092165581805
4529,Palestine,PSE,2019,6.54381498363225
4530,Panama,PAN,1990,3.07637328176104
4531,Panama,PAN,1991,3.0721985787925
4532,Panama,PAN,1992,3.06972486440982
4533,Panama,PAN,1993,3.0678166289201
4534,Panama,PAN,1994,3.0682989944520003
4535,Panama,PAN,1995,3.07060301190654
4536,Panama,PAN,1996,3.07491296426432
4537,Panama,PAN,1997,3.08386599311298
4538,Panama,PAN,1998,3.09419377129137
4539,Panama,PAN,1999,3.1040986056866
4540,Panama,PAN,2000,3.11117942759174
4541,Panama,PAN,2001,3.1155817662150103
4542,Panama,PAN,2002,3.12078262901562
4543,Panama,PAN,2003,3.1236228044415704
4544,Panama,PAN,2004,3.12852819166139
4545,Panama,PAN,2005,3.12863006092595
4546,Panama,PAN,2006,3.12605302731629
4547,Panama,PAN,2007,3.1183163532415703
4548,Panama,PAN,2008,3.11088413242386
4549,Panama,PAN,2009,3.10483816628692
4550,Panama,PAN,2010,3.10191230784059
4551,Panama,PAN,2011,3.10310598727047
4552,Panama,PAN,2012,3.10483523376228
4553,Panama,PAN,2013,3.10714487995905
4554,Panama,PAN,2014,3.11074773044735
4555,Panama,PAN,2015,3.11310461178942
4556,Panama,PAN,2016,3.11534960902557
4557,Panama,PAN,2017,3.11754083427521
4558,Panama,PAN,2018,3.11970615924391
4559,Panama,PAN,2019,3.12005142124314
4560,Papua New Guinea,PNG,1990,3.2219090432196498
4561,Papua New Guinea,PNG,1991,3.22318998017104
4562,Papua New Guinea,PNG,1992,3.2232042707671003
4563,Papua New Guinea,PNG,1993,3.22173343335907
4564,Papua New Guinea,PNG,1994,3.2205005564874
4565,Papua New Guinea,PNG,1995,3.21983181288305
4566,Papua New Guinea,PNG,1996,3.21670497435243
4567,Papua New Guinea,PNG,1997,3.21166942020511
4568,Papua New Guinea,PNG,1998,3.20437431513134
4569,Papua New Guinea,PNG,1999,3.1969670425416297
4570,Papua New Guinea,PNG,2000,3.1932742439644004
4571,Papua New Guinea,PNG,2001,3.18975114990792
4572,Papua New Guinea,PNG,2002,3.1869362648214503
4573,Papua New Guinea,PNG,2003,3.18285642179871
4574,Papua New Guinea,PNG,2004,3.18078868867711
4575,Papua New Guinea,PNG,2005,3.1779712574694705
4576,Papua New Guinea,PNG,2006,3.17252983243247
4577,Papua New Guinea,PNG,2007,3.16687498910465
4578,Papua New Guinea,PNG,2008,3.16073267364844
4579,Papua New Guinea,PNG,2009,3.15623586520926
4580,Papua New Guinea,PNG,2010,3.15185408607864
4581,Papua New Guinea,PNG,2011,3.14991761579168
4582,Papua New Guinea,PNG,2012,3.1471732417468097
4583,Papua New Guinea,PNG,2013,3.14642809103888
4584,Papua New Guinea,PNG,2014,3.14494796732692
4585,Papua New Guinea,PNG,2015,3.14495619317602
4586,Papua New Guinea,PNG,2016,3.14251884648618
4587,Papua New Guinea,PNG,2017,3.14179692511493
4588,Papua New Guinea,PNG,2018,3.14155097153338
4589,Papua New Guinea,PNG,2019,3.13961724123298
4590,Paraguay,PRY,1990,3.62726694015197
4591,Paraguay,PRY,1991,3.64409251941535
4592,Paraguay,PRY,1992,3.65807690645682
4593,Paraguay,PRY,1993,3.66973270561814
4594,Paraguay,PRY,1994,3.68026327391267
4595,Paraguay,PRY,1995,3.68618836527044
4596,Paraguay,PRY,1996,3.68513872812512
4597,Paraguay,PRY,1997,3.67551074401372
4598,Paraguay,PRY,1998,3.66198423497264
4599,Paraguay,PRY,1999,3.65028046420442
4600,Paraguay,PRY,2000,3.64869417020356
4601,Paraguay,PRY,2001,3.65552300752061
4602,Paraguay,PRY,2002,3.6683681308530303
4603,Paraguay,PRY,2003,3.68428043501985
4604,Paraguay,PRY,2004,3.69489313296312
4605,Paraguay,PRY,2005,3.7056760310315697
4606,Paraguay,PRY,2006,3.7113212603508097
4607,Paraguay,PRY,2007,3.7203824159267103
4608,Paraguay,PRY,2008,3.72966377386005
4609,Paraguay,PRY,2009,3.73916045460893
4610,Paraguay,PRY,2010,3.7496720063444497
4611,Paraguay,PRY,2011,3.7704435970918895
4612,Paraguay,PRY,2012,3.80840218497654
4613,Paraguay,PRY,2013,3.8527256037696898
4614,Paraguay,PRY,2014,3.89035926090349
4615,Paraguay,PRY,2015,3.91095834365561
4616,Paraguay,PRY,2016,3.91395938855224
4617,Paraguay,PRY,2017,3.91301589284556
4618,Paraguay,PRY,2018,3.90820078339508
4619,Paraguay,PRY,2019,3.89917590987233
4620,Peru,PER,1990,2.50440483178521
4621,Peru,PER,1991,2.5040445232490502
4622,Peru,PER,1992,2.5018433434787
4623,Peru,PER,1993,2.49891190543069
4624,Peru,PER,1994,2.49469402766951
4625,Peru,PER,1995,2.49135289597812
4626,Peru,PER,1996,2.48639454945083
4627,Peru,PER,1997,2.47708510109931
4628,Peru,PER,1998,2.46509719650112
4629,Peru,PER,1999,2.45342494110459
4630,Peru,PER,2000,2.443768412162
4631,Peru,PER,2001,2.43662006297016
4632,Peru,PER,2002,2.4301426541010698
4633,Peru,PER,2003,2.42381287191629
4634,Peru,PER,2004,2.41423327361752
4635,Peru,PER,2005,2.40309525131386
4636,Peru,PER,2006,2.38031016786079
4637,Peru,PER,2007,2.34455828099115
4638,Peru,PER,2008,2.30756682941182
4639,Peru,PER,2009,2.27861678888022
4640,Peru,PER,2010,2.26620980263065
4641,Peru,PER,2011,2.26974907806789
4642,Peru,PER,2012,2.27944267067733
4643,Peru,PER,2013,2.29322088795026
4644,Peru,PER,2014,2.30590569558812
4645,Peru,PER,2015,2.31207092297259
4646,Peru,PER,2016,2.3139352513263
4647,Peru,PER,2017,2.31696911990579
4648,Peru,PER,2018,2.32114230321896
4649,Peru,PER,2019,2.32641601561448
4650,Philippines,PHL,1990,3.16269664453524
4651,Philippines,PHL,1991,3.14228991843717
4652,Philippines,PHL,1992,3.11970256298714
4653,Philippines,PHL,1993,3.09549948022252
4654,Philippines,PHL,1994,3.07152975317114
4655,Philippines,PHL,1995,3.04847752769918
4656,Philippines,PHL,1996,3.01935463700489
4657,Philippines,PHL,1997,2.98185425753656
4658,Philippines,PHL,1998,2.9419249734697903
4659,Philippines,PHL,1999,2.90688420193444
4660,Philippines,PHL,2000,2.88345894715723
4661,Philippines,PHL,2001,2.86683700165345
4662,Philippines,PHL,2002,2.85041176876704
4663,Philippines,PHL,2003,2.83676792629547
4664,Philippines,PHL,2004,2.8278666713254097
4665,Philippines,PHL,2005,2.82421800811634
4666,Philippines,PHL,2006,2.82407412566296
4667,Philippines,PHL,2007,2.82449429424222
4668,Philippines,PHL,2008,2.82529983779762
4669,Philippines,PHL,2009,2.82629169184807
4670,Philippines,PHL,2010,2.82812984415171
4671,Philippines,PHL,2011,2.83183445424604
4672,Philippines,PHL,2012,2.83768673477603
4673,Philippines,PHL,2013,2.84443336177798
4674,Philippines,PHL,2014,2.85060085834917
4675,Philippines,PHL,2015,2.85446782852501
4676,Philippines,PHL,2016,2.85723802788951
4677,Philippines,PHL,2017,2.8612351503364297
4678,Philippines,PHL,2018,2.87162747423289
4679,Philippines,PHL,2019,2.89013110658983
4680,Poland,POL,1990,2.42627891366908
4681,Poland,POL,1991,2.43024160846185
4682,Poland,POL,1992,2.43425375351032
4683,Poland,POL,1993,2.43890320591484
4684,Poland,POL,1994,2.44317119321388
4685,Poland,POL,1995,2.4472639660625
4686,Poland,POL,1996,2.45269869847283
4687,Poland,POL,1997,2.46014601938675
4688,Poland,POL,1998,2.46792200249981
4689,Poland,POL,1999,2.47359543273331
4690,Poland,POL,2000,2.4760759966057
4691,Poland,POL,2001,2.45914864622849
4692,Poland,POL,2002,2.4189207002318502
4693,Poland,POL,2003,2.3700760182572003
4694,Poland,POL,2004,2.32741498326267
4695,Poland,POL,2005,2.30568088639776
4696,Poland,POL,2006,2.3010637216883403
4697,Poland,POL,2007,2.29883878487244
4698,Poland,POL,2008,2.29808560213077
4699,Poland,POL,2009,2.29795331801061
4700,Poland,POL,2010,2.29746023045297
4701,Poland,POL,2011,2.29662489335496
4702,Poland,POL,2012,2.29472109503981
4703,Poland,POL,2013,2.2932583484031497
4704,Poland,POL,2014,2.2925508193642496
4705,Poland,POL,2015,2.29184736678682
4706,Poland,POL,2016,2.29407564737434
4707,Poland,POL,2017,2.29978864568794
4708,Poland,POL,2018,2.35691650471465
4709,Poland,POL,2019,2.47612032035306
