,Entity,Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent)
2280,Greece,GRC,1990,0.29345220674612,0.97450921358539,0.42862723298727,5.96242461979533,0.5436805537352499,5.3648499187580505,1.80259416859543
2281,Greece,GRC,1991,0.29342890277707,0.97505973150647,0.42880723855556,5.974268173052081,0.5770614546496,5.32905005044845,1.79599923040995
2282,Greece,GRC,1992,0.2934791635161,0.97561656602974,0.42912934859502,5.98487658488321,0.60295627487357,5.3078058581712,1.79124391553317
2283,Greece,GRC,1993,0.29361911806286,0.97634075384955,0.42988319808448,5.99543640869221,0.62200161547148,5.29780046171848,1.7881849008827295
2284,Greece,GRC,1994,0.29381944060162,0.97711895618561,0.43096248524109,6.0047264442436,0.63263766138393,5.29884132111007,1.7871292972329402
2285,Greece,GRC,1995,0.29412310730931,0.97804737709151,0.43247675915537,6.01290513167237,0.63792058112004,5.30275697044284,1.78892335206201
2286,Greece,GRC,1996,0.29451030397795,0.97889167102237,0.4341587431032799,6.01939868099291,0.62748890782057,5.42579339038601,1.79348182358788
2287,Greece,GRC,1997,0.294955739356,0.97958810187758,0.4364158145825599,6.02480889919849,0.604235024592,5.70988809118481,1.79974185660545
2288,Greece,GRC,1998,0.29539960408281,0.98012552582487,0.43977711383889,6.0290597261071,0.57656359805032,6.04508344341246,1.80663537812423
2289,Greece,GRC,1999,0.29575392250923,0.98054207859173,0.44383961510136,6.0325919186027805,0.55302676666932,6.32645049490502,1.81220906333078
2290,Greece,GRC,2000,0.29597007622561,0.98083454093316,0.44749662454099,6.0351061908763,0.54433632808267,6.444800640643559,1.8156403736243
2291,Greece,GRC,2001,0.29611047872072,0.98132387165407,0.45278327501664,6.03323090177474,0.5488894973706,6.408883831581321,1.817298638307289
2292,Greece,GRC,2002,0.29630178311186,0.98238067270031,0.4596690619256,6.028467852218959,0.55981019705573,6.31294457912952,1.81814922367207
2293,Greece,GRC,2003,0.29657103347425,0.98384383717696,0.4682227891712099,6.02589436488212,0.5737952670709,6.20155890288206,1.81890380526064
2294,Greece,GRC,2004,0.2969048429194399,0.98543514478667,0.47532608653707,6.02955912200537,0.5885472460445,6.10419298078338,1.81987820316103
2295,Greece,GRC,2005,0.29729995246025,0.98691030660974,0.47939286008891,6.0439777086043,0.6020169060385999,6.06545925562232,1.8213587633653097
2296,Greece,GRC,2006,0.29776811522866,0.98820630271564,0.4811662450120099,6.06838326204365,0.61743354924109,6.0677468211021806,1.82334991910458
2297,Greece,GRC,2007,0.2982762601393,0.98937607622875,0.48200018331367,6.09728602683138,0.63845229696506,6.0757703688767,1.82520097386786
2298,Greece,GRC,2008,0.29877620468056,0.99043827081755,0.48103167264754,6.12839813794892,0.65928867790551,6.08348783854668,1.82661117077715
2299,Greece,GRC,2009,0.29918314592547,0.99134072239098,0.48061482229743,6.159156393047581,0.6769363767058,6.08979998161563,1.8269975508339704
2300,Greece,GRC,2010,0.29946540283636,0.992213984367,0.47989127362938,6.18817032213957,0.6863597846834599,6.086847757738631,1.82592870371736
2301,Greece,GRC,2011,0.29980746059994,0.99384659776208,0.47906239444237,6.22371949643421,0.68881044020589,5.99597622494702,1.8198199471714904
2302,Greece,GRC,2012,0.30034717453277,0.99657811480661,0.47831511093245,6.27152219351296,0.68649801701677,5.79288635801899,1.80752232823634
2303,Greece,GRC,2013,0.30090725764965,0.999580075252,0.47713292209337,6.32338570238713,0.68071701781262,5.54846187147787,1.7921315252390098
2304,Greece,GRC,2014,0.3013365974263799,1.00209605571302,0.47568754711459,6.37143207846038,0.6752774088925699,5.33969507160427,1.77723887877064
2305,Greece,GRC,2015,0.30145548544177,1.00335790200236,0.4755654671333499,6.408188508042691,0.67047613196094,5.2473545175311,1.76573729510257
2306,Greece,GRC,2016,0.30110288429889,1.00365740754276,0.4765647253803,6.42310426018233,0.65194208338453,5.27311607394018,1.75322656026195
2307,Greece,GRC,2017,0.30081351259528,1.00383411727559,0.4775613859287699,6.421951241837689,0.63583605035695,5.33335499827601,1.7456893921031498
2308,Greece,GRC,2018,0.29963064082126,0.99950437076221,0.47508950216789,6.38739412506632,0.6462641354494301,5.40957640966671,1.7613164302647502
2309,Greece,GRC,2019,0.29720372735285,0.99009145257432,0.46928200786261,6.309289603749329,0.6749658171742,5.50499099147155,1.7984459327254998
2310,Greenland,GRL,1990,0.4017306027313,0.66787114578889,0.47437810229188,5.12399544360875,1.63642942375637,6.9066370743224095,4.32337998166911
2311,Greenland,GRL,1991,0.40391101592758,0.66818130319309,0.4724808061566199,5.13255994596614,1.61585124184368,6.96722470626926,4.33868164422532
2312,Greenland,GRL,1992,0.40579635814231,0.66859905156761,0.47021537733121,5.14057582342983,1.60006022349703,7.013826761065051,4.35451711940041
2313,Greenland,GRL,1993,0.40739968357916,0.66886284485183,0.46797336466703,5.14470841971163,1.59025377282471,7.049096060791859,4.37173952370703
2314,Greenland,GRL,1994,0.40852279753277,0.66922383322602,0.46569266368954,5.1473702437663,1.58534576318415,7.068241012125,4.38936691062359
2315,Greenland,GRL,1995,0.40899120868513,0.66947308424278,0.4642387591017299,5.1512530600779805,1.58508947500444,7.077744559725869,4.4017926322297205
2316,Greenland,GRL,1996,0.4088959888687299,0.66984810808189,0.46461195461911,5.15518870852546,1.59229537718962,7.06949951868141,4.41027981069369
2317,Greenland,GRL,1997,0.40848907607787,0.66995461381959,0.46536562968156,5.1615245538777295,1.60457567810709,7.05519014809026,4.4190239067328
2318,Greenland,GRL,1998,0.40802626211351,0.67008695828866,0.46584352222363,5.16672083441796,1.61844206496064,7.03154103247054,4.42752760615402
2319,Greenland,GRL,1999,0.40767659497064,0.67029325763597,0.46612208136449,5.1691929367936105,1.63406285803948,7.001220223893339,4.43700109054215
2320,Greenland,GRL,2000,0.4076090509317,0.6705372326039201,0.46596154634815,5.16972452127058,1.6451234735353395,6.97439535314111,4.44290832149614
2321,Greenland,GRL,2001,0.40824739214349,0.6740720226115801,0.46733851955482,5.1719880460942,1.64909820249561,6.95601739899494,4.44436817101265
2322,Greenland,GRL,2002,0.40975878456007,0.6819948777661,0.46967159307932,5.17338157849227,1.65495310134518,6.932126406107619,4.4423723165951
2323,Greenland,GRL,2003,0.41163512253169,0.69139309122016,0.47295086388979,5.17358896539117,1.6632972632409302,6.90432636149923,4.43946771772663
2324,Greenland,GRL,2004,0.41334209313074,0.6993363716744,0.47654231834056,5.1758605616526,1.66848737936569,6.880863244616959,4.42966470655949
2325,Greenland,GRL,2005,0.41439520245023,0.70286636370947,0.48092200660581,5.179990311831411,1.67611586709086,6.85946379319478,4.41759729444886
2326,Greenland,GRL,2006,0.4148747525776999,0.70331179699476,0.48665807726954,5.18599421477009,1.68893250819896,6.840146971250979,4.39052799068915
