,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Male - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Female - Age: Age-standardized (Percent),Population (historical estimates),Continent
18798,Germany,DEU,2017,3.00864526571016,4.56274133940828,82658409.0,
18799,Germany,DEU,2018,3.00500984368312,4.49208974929652,83124413.0,
18800,Germany,DEU,2019,3.00484399987626,4.3884719818981806,83517046.0,
18801,Germany,DEU,-10000,,,6576.0,
18802,Germany,DEU,-9000,,,9864.0,
18803,Germany,DEU,-8000,,,14796.0,
18804,Germany,DEU,-7000,,,22195.0,
18805,Germany,DEU,-6000,,,33292.0,
18806,Germany,DEU,-5000,,,44939.0,
18807,Germany,DEU,-4000,,,87408.0,
18808,Germany,DEU,-3000,,,161113.0,
18809,Germany,DEU,-2000,,,316670.0,
18810,Germany,DEU,-1000,,,625005.0,
18811,Germany,DEU,0,,,2999994.0,
18812,Germany,DEU,100,,,3250004.0,
18813,Germany,DEU,200,,,3500005.0,
18814,Germany,DEU,300,,,3500000.0,
18815,Germany,DEU,400,,,3499996.0,
18816,Germany,DEU,500,,,3250002.0,
18817,Germany,DEU,600,,,3000002.0,
18818,Germany,DEU,700,,,3125004.0,
18819,Germany,DEU,800,,,3250005.0,
18820,Germany,DEU,900,,,3375004.0,
18821,Germany,DEU,1000,,,3500006.0,
18822,Germany,DEU,1100,,,3999991.0,
18823,Germany,DEU,1200,,,5999998.0,
18824,Germany,DEU,1300,,,9000009.0,
18825,Germany,DEU,1400,,,6499992.0,
18826,Germany,DEU,1500,,,8999982.0,
18827,Germany,DEU,1600,,,12000005.0,
18828,Germany,DEU,1700,,,12999967.0,
18829,Germany,DEU,1710,,,13978600.0,
18830,Germany,DEU,1720,,,14957612.0,
18831,Germany,DEU,1730,,,15936966.0,
18832,Germany,DEU,1740,,,16916782.0,
18833,Germany,DEU,1750,,,17897054.0,
18834,Germany,DEU,1760,,,18891894.0,
18835,Germany,DEU,1770,,,19886730.0,
18836,Germany,DEU,1780,,,20881578.0,
18837,Germany,DEU,1790,,,21876482.0,
18838,Germany,DEU,1800,,,18000000.0,
18839,Germany,DEU,1801,,,18294612.0,
18840,Germany,DEU,1802,,,18594046.0,
18841,Germany,DEU,1803,,,18898381.0,
18842,Germany,DEU,1804,,,19207698.0,
18843,Germany,DEU,1805,,,19522077.0,
18844,Germany,DEU,1806,,,19841601.0,
18845,Germany,DEU,1807,,,20166356.0,
18846,Germany,DEU,1808,,,20496425.0,
18847,Germany,DEU,1809,,,20831897.0,
18848,Germany,DEU,1810,,,21178441.0,
18849,Germany,DEU,1811,,,21525076.0,
18850,Germany,DEU,1812,,,21877384.0,
18851,Germany,DEU,1813,,,22235459.0,
18852,Germany,DEU,1814,,,22599394.0,
18853,Germany,DEU,1815,,,22969286.0,
18854,Germany,DEU,1816,,,23345232.0,
18855,Germany,DEU,1817,,,23727332.0,
18856,Germany,DEU,1818,,,24115685.0,
18857,Germany,DEU,1819,,,24488367.0,
18858,Germany,DEU,1820,,,24844857.0,
18859,Germany,DEU,1821,,,25184625.0,
18860,Germany,DEU,1822,,,25507128.0,
18861,Germany,DEU,1823,,,25811809.0,
18862,Germany,DEU,1824,,,26120130.0,
18863,Germany,DEU,1825,,,26432134.0,
18864,Germany,DEU,1826,,,26747865.0,
18865,Germany,DEU,1827,,,27067367.0,
18866,Germany,DEU,1828,,,27390685.0,
18867,Germany,DEU,1829,,,27709637.0,
18868,Germany,DEU,1830,,,28024082.0,
18869,Germany,DEU,1831,,,28333882.0,
18870,Germany,DEU,1832,,,28638891.0,
18871,Germany,DEU,1833,,,28938965.0,
18872,Germany,DEU,1834,,,29242182.0,
18873,Germany,DEU,1835,,,29548576.0,
18874,Germany,DEU,1836,,,29858181.0,
18875,Germany,DEU,1837,,,30171030.0,
18876,Germany,DEU,1838,,,30487157.0,
18877,Germany,DEU,1839,,,30791884.0,
18878,Germany,DEU,1840,,,31084973.0,
18879,Germany,DEU,1841,,,31366182.0,
18880,Germany,DEU,1842,,,31635265.0,
18881,Germany,DEU,1843,,,31891972.0,
18882,Germany,DEU,1844,,,32150762.0,
18883,Germany,DEU,1845,,,32411652.0,
18884,Germany,DEU,1846,,,32674660.0,
18885,Germany,DEU,1847,,,32939801.0,
18886,Germany,DEU,1848,,,33207094.0,
18887,Germany,DEU,1849,,,33466493.0,
18888,Germany,DEU,1850,,,33717866.0,
18889,Germany,DEU,1851,,,33970411.0,
18890,Germany,DEU,1852,,,34214795.0,
18891,Germany,DEU,1853,,,34450874.0,
18892,Germany,DEU,1854,,,34688580.0,
18893,Germany,DEU,1855,,,34927923.0,
18894,Germany,DEU,1856,,,35168915.0,
18895,Germany,DEU,1857,,,35411567.0,
18896,Germany,DEU,1858,,,35655890.0,
18897,Germany,DEU,1859,,,35915420.0,
18898,Germany,DEU,1860,,,36190385.0,
18899,Germany,DEU,1861,,,36481013.0,
18900,Germany,DEU,1862,,,36787538.0,
18901,Germany,DEU,1863,,,37110194.0,
18902,Germany,DEU,1864,,,37435677.0,
18903,Germany,DEU,1865,,,37764012.0,
18904,Germany,DEU,1866,,,38095224.0,
18905,Germany,DEU,1867,,,38429338.0,
18906,Germany,DEU,1868,,,38766380.0,
18907,Germany,DEU,1869,,,39121267.0,
18908,Germany,DEU,1870,,,39494319.0,
18909,Germany,DEU,1871,,,39885860.0,
18910,Germany,DEU,1872,,,40296219.0,
18911,Germany,DEU,1873,,,40725727.0,
18912,Germany,DEU,1874,,,41159810.0,
18913,Germany,DEU,1875,,,41598517.0,
18914,Germany,DEU,1876,,,42041897.0,
18915,Germany,DEU,1877,,,42489999.0,
18916,Germany,DEU,1878,,,42942875.0,
18917,Germany,DEU,1879,,,43388996.0,
18918,Germany,DEU,1880,,,43828181.0,
18919,Germany,DEU,1881,,,44260243.0,
18920,Germany,DEU,1882,,,44684993.0,
18921,Germany,DEU,1883,,,45102238.0,
18922,Germany,DEU,1884,,,45523375.0,
18923,Germany,DEU,1885,,,45948441.0,
18924,Germany,DEU,1886,,,46377473.0,
18925,Germany,DEU,1887,,,46810508.0,
